,Equipe,Link,TamanhoElenco,IdadeElenco,JogadoresEstrangeiros,SetorGol,SetorDef,SetorMeio,SetorAtq,SimilaridadeSetores,MelhorGol,MelhorDef,MelhorMeio,MelhorAtq
0,EC Bahia - 2018,https://www.transfermarkt.com/ec-bahia/startseite/verein/10010/saison_id/2017,31,25.6,2,0.063,0.309,0.454,0.173,0.563,0.058,0.05,0.083,0.058
1,EC Vitória - 2018,https://www.transfermarkt.com/esporte-clube-vitoria/startseite/verein/2125/saison_id/2017,41,24.9,1,0.04,0.438,0.3,0.222,0.576,0.032,0.101,0.04,0.081
2,Sport Recife - 2018,https://www.transfermarkt.com/sport-club-do-recife/startseite/verein/8718/saison_id/2017,33,26.3,1,0.04,0.369,0.471,0.119,0.485,0.021,0.085,0.085,0.053
3,Ceará SC - 2018,https://www.transfermarkt.com/ceara-sporting-club-ce-/startseite/verein/2029/saison_id/2017,34,28.2,2,0.078,0.311,0.336,0.276,0.731,0.04,0.063,0.075,0.045
